timestamp,room_temperature,room_pressure,room_humidity,room_light_intensity,skin_temperature,light_temperature,heart_rate,eye_tracking,room_noise,mouse_movement,body_posture,body_movement,voice,face_emotion,task_timestamp
2025-08-13 14:02:05,23.47,995.5,58.375,119.07,27.81,3368.94,102.0,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:02:10,23.4725,995.5,58.254999999999995,119.07,27.625,3368.94,102.75,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:02:15,23.47,995.4925000000001,58.065,119.07,27.635,3368.94,103.0,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:02:20,23.47,995.4825000000001,58.345,119.07,27.645,3368.94,103.25,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:02:25,23.47,995.5025,58.185,119.07,27.645,3368.94,104.25,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:02:30,23.465,995.4925000000001,58.275,119.07,27.63,3368.94,105.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:02:35,23.4675,995.5025,58.2425,119.07,27.59,3368.94,105.75,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:02:40,23.4725,995.515,57.975,119.07,27.63,3368.94,106.75,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:02:45,23.4675,995.5,58.212500000000006,119.07,27.625,3368.94,105.25,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:02:50,23.47,995.5225,58.1025,119.07,27.585,3368.94,106.0,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:02:55,23.4725,995.525,58.26,119.07,27.625,3368.94,,unknown,unknown,active,poor,still,silent,sad,Began Step 6
2025-08-13 14:03:00,23.4725,995.5225,58.5075,119.07,27.605,3368.94,,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:03:05,23.4675,995.52,58.3075,119.07,27.57,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:03:10,23.4625,995.5,58.525,119.07,27.6,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:03:15,23.465,995.52,58.2425,119.07,27.605,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:03:20,23.4675,995.5,58.3025,119.07,27.615,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:03:25,23.4675,995.5274999999999,58.4125,119.07,27.595,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:03:30,23.47,995.5425,58.225,119.07,27.555,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:03:35,23.4675,995.535,58.305,119.07,27.61,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:03:40,23.4675,995.53,58.5925,119.07,27.605,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:03:45,23.465,995.515,58.1,119.07,27.565,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:03:50,23.46,995.5325,58.597500000000004,119.07,27.6,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:03:55,23.47,995.53,58.215,119.07,27.595,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:04:00,23.4725,995.5125,58.120000000000005,119.07,27.615000000000002,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:04:05,23.48,995.52,58.32,119.07,27.725,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:04:10,23.5,995.515,58.197500000000005,119.07,27.68,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:04:15,23.517500000000002,995.505,58.2275,119.07,27.78,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:04:20,23.53,995.5274999999999,58.082499999999996,119.07,27.755,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:04:25,23.560000000000002,995.51,57.832499999999996,119.07,27.78,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:04:30,23.575,995.4975,57.932500000000005,119.07,27.86,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:04:35,23.5875,995.4825000000001,58.01,119.07,27.855,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:04:40,23.595,995.485,58.1375,119.07,27.885,3368.94,,unknown,unknown,active,poor,still,silent,neutral,Began Step 7
2025-08-13 14:04:45,23.6175,995.465,57.9925,119.07,27.875,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:04:50,23.625,995.455,57.6375,119.07,27.86,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:04:55,23.645,995.4675,57.4025,119.07,27.91,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:05:00,23.66,995.475,57.5525,119.07,27.865000000000002,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:05:05,23.6725,995.4625000000001,57.635000000000005,119.07,27.87,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:05:10,23.677500000000002,995.45,57.4625,119.07,27.83,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:05:15,23.68,995.4825000000001,57.7725,119.07,27.87,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:05:20,23.69,995.475,57.575,119.07,28.215,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:05:25,23.697499999999998,995.475,57.95,119.07,28.625,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:05:30,23.705,995.47,57.885,119.07,28.15,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:05:35,23.7125,995.47,57.915,119.07,28.085,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:05:40,23.71,995.4475,58.082499999999996,119.07,28.244999999999997,3380.73,,unknown,unknown,active,poor,still,silent,angry,unknown
2025-08-13 14:05:45,23.7175,995.45,57.72,119.07,28.18,3374.835,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:05:50,23.7175,995.4575,57.6375,119.07,28.215,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:05:55,23.7225,995.46,57.56,119.07,28.155,3374.835,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:06:00,23.73,995.47,57.705,119.07,28.195,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:06:05,23.737499999999997,995.435,57.68,119.07,28.23,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:06:10,23.744999999999997,995.46,57.85,119.07,28.240000000000002,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:06:15,23.7525,995.44,57.7625,119.07,28.31,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 14:06:20,23.765,995.4525000000001,57.72,119.07,28.28,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:06:25,23.775,995.465,57.685,119.07,28.32,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:06:30,23.78,995.4675,57.76,119.07,28.27,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:06:35,23.7875,995.4475,57.4225,119.07,28.305,3368.94,,unknown,unknown,active,poor,still,silent,fear,Began Step 8
2025-08-13 14:06:40,23.7925,995.4575,57.465,119.07,28.295,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:06:45,23.8075,995.455,57.425,119.07,28.32,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:06:50,23.822499999999998,995.45,57.92,119.07,28.335,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:06:55,23.8275,995.4425,57.35,119.07,28.314999999999998,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:07:00,23.835,995.4475,57.31,119.07,28.335,3368.94,,unknown,unknown,active,poor,still,silent,fear,unknown
2025-08-13 14:07:05,23.85,995.4325,57.4775,119.07,28.299999999999997,3368.94,,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 14:07:10,23.855,995.4375,57.4425,119.07,28.35,3368.94,,unknown,unknown,active,poor,still,silent,neutral,unknown
