Moved to (1924, 1) at 1752601155.04
Moved to (1923, 1) at 1752601155.04
Moved to (1921, 1) at 1752601155.05
Moved to (1922, 1) at 1752601155.05
Moved to (1920, 1) at 1752601155.06
Moved to (1916, 1) at 1752601155.07
Moved to (1915, 1) at 1752601155.07
Moved to (1912, -1) at 1752601155.08
Moved to (1909, 0) at 1752601155.08
Moved to (1906, 0) at 1752601155.08
Moved to (1902, 0) at 1752601155.09
Moved to (1900, -1) at 1752601155.09
Moved to (1899, 0) at 1752601155.10
Moved to (1899, 0) at 1752601155.10
Moved to (1899, 2) at 1752601155.11
Moved to (1899, 5) at 1752601155.12
Moved to (1900, 9) at 1752601155.12
Moved to (1901, 12) at 1752601155.12
Moved to (1903, 18) at 1752601155.12
Moved to (1904, 25) at 1752601155.13
Moved to (1906, 33) at 1752601155.14
Moved to (1907, 41) at 1752601155.14
Moved to (1907, 48) at 1752601155.14
Moved to (1907, 55) at 1752601155.15
Moved to (1907, 62) at 1752601155.15
Moved to (1907, 72) at 1752601155.15
Moved to (1907, 81) at 1752601155.16
Moved to (1907, 89) at 1752601155.16
Moved to (1905, 96) at 1752601155.17
Moved to (1904, 106) at 1752601155.17
Moved to (1902, 116) at 1752601155.17
Moved to (1899, 126) at 1752601155.18
Moved to (1897, 134) at 1752601155.18
Moved to (1895, 144) at 1752601155.19
Moved to (1894, 153) at 1752601155.19
Moved to (1894, 165) at 1752601155.19
Moved to (1894, 175) at 1752601155.19
Moved to (1894, 184) at 1752601155.20
Moved to (1892, 196) at 1752601155.21
Moved to (1892, 206) at 1752601155.21
Moved to (1892, 215) at 1752601155.21
Moved to (1892, 225) at 1752601155.22
Moved to (1890, 237) at 1752601155.22
Moved to (1889, 249) at 1752601155.22
Moved to (1885, 261) at 1752601155.23
Moved to (1881, 276) at 1752601155.23
Moved to (1876, 290) at 1752601155.24
Moved to (1871, 303) at 1752601155.24
Moved to (1863, 315) at 1752601155.24
Moved to (1854, 328) at 1752601155.25
Moved to (1845, 341) at 1752601155.25
Moved to (1836, 352) at 1752601155.26
Moved to (1825, 361) at 1752601155.26
Moved to (1815, 370) at 1752601155.27
Moved to (1806, 376) at 1752601155.27
Moved to (1800, 381) at 1752601155.27
Moved to (1794, 386) at 1752601155.28
Moved to (1788, 388) at 1752601155.28
Moved to (1784, 391) at 1752601155.29
Moved to (1781, 392) at 1752601155.29
Moved to (1777, 392) at 1752601155.29
Moved to (1773, 392) at 1752601155.30
Moved to (1771, 392) at 1752601155.30
Moved to (1770, 392) at 1752601155.31
Moved to (1769, 391) at 1752601155.31
Moved to (1769, 390) at 1752601155.32
Moved to (1769, 389) at 1752601155.32
Moved to (1769, 388) at 1752601155.32
Moved to (1769, 387) at 1752601155.33
Moved to (1769, 386) at 1752601155.33
Moved to (1769, 385) at 1752601155.34
Moved to (1769, 384) at 1752601155.34
Moved to (1769, 383) at 1752601155.34
Moved to (1769, 382) at 1752601155.35
Moved to (1769, 381) at 1752601155.35
Moved to (1769, 380) at 1752601155.36
Moved to (1769, 378) at 1752601155.36
Moved to (1769, 377) at 1752601155.36
Moved to (1769, 376) at 1752601155.37
Moved to (1769, 374) at 1752601155.37
Moved to (1769, 373) at 1752601155.37
Moved to (1769, 372) at 1752601155.38
Moved to (1770, 370) at 1752601155.38
Moved to (1771, 368) at 1752601155.39
Moved to (1772, 365) at 1752601155.39
Moved to (1773, 363) at 1752601155.40
Moved to (1775, 360) at 1752601155.40
Moved to (1777, 358) at 1752601155.40
Moved to (1780, 355) at 1752601155.41
Moved to (1781, 353) at 1752601155.41
Moved to (1783, 349) at 1752601155.42
Moved to (1786, 347) at 1752601155.42
Moved to (1789, 343) at 1752601155.42
Moved to (1791, 340) at 1752601155.43
Moved to (1792, 336) at 1752601155.43
Moved to (1794, 334) at 1752601155.44
Moved to (1795, 332) at 1752601155.44
Moved to (1796, 329) at 1752601155.44
Moved to (1796, 327) at 1752601155.45
Moved to (1796, 325) at 1752601155.45
Moved to (1796, 322) at 1752601155.45
Moved to (1796, 321) at 1752601155.46
Moved to (1795, 319) at 1752601155.46
Moved to (1794, 318) at 1752601155.47
Moved to (1791, 316) at 1752601155.47
Moved to (1790, 316) at 1752601155.48
Moved to (1787, 314) at 1752601155.48
Moved to (1786, 313) at 1752601155.48
Moved to (1783, 310) at 1752601155.49
Moved to (1778, 306) at 1752601155.49
Moved to (1776, 305) at 1752601155.50
Moved to (1772, 304) at 1752601155.50
Moved to (1767, 301) at 1752601155.50
Moved to (1759, 298) at 1752601155.51
Moved to (1751, 295) at 1752601155.51
Moved to (1743, 293) at 1752601155.51
Moved to (1735, 290) at 1752601155.52
Moved to (1726, 288) at 1752601155.52
Moved to (1716, 287) at 1752601155.53
Moved to (1706, 287) at 1752601155.53
Moved to (1696, 285) at 1752601155.53
Moved to (1687, 285) at 1752601155.54
Moved to (1675, 285) at 1752601155.54
Moved to (1663, 285) at 1752601155.54
Moved to (1651, 283) at 1752601155.55
Moved to (1637, 283) at 1752601155.55
Moved to (1623, 283) at 1752601155.56
Moved to (1607, 283) at 1752601155.56
Moved to (1591, 283) at 1752601155.57
Moved to (1574, 283) at 1752601155.57
Moved to (1558, 283) at 1752601155.57
Moved to (1539, 283) at 1752601155.58
Moved to (1523, 283) at 1752601155.58
Moved to (1502, 283) at 1752601155.59
Moved to (1483, 284) at 1752601155.59
Moved to (1465, 286) at 1752601155.59
Moved to (1446, 288) at 1752601155.60
Moved to (1425, 290) at 1752601155.60
Moved to (1404, 292) at 1752601155.61
Moved to (1385, 294) at 1752601155.61
Moved to (1366, 298) at 1752601155.61
Moved to (1349, 301) at 1752601155.62
Moved to (1332, 305) at 1752601155.62
Moved to (1316, 309) at 1752601155.62
Moved to (1301, 310) at 1752601155.62
Moved to (1289, 314) at 1752601155.63
Moved to (1277, 316) at 1752601155.64
Moved to (1265, 319) at 1752601155.64
Moved to (1255, 323) at 1752601155.65
Moved to (1245, 326) at 1752601155.65
Moved to (1235, 328) at 1752601155.65
Moved to (1227, 331) at 1752601155.66
Moved to (1219, 332) at 1752601155.66
Moved to (1212, 334) at 1752601155.67
Moved to (1206, 335) at 1752601155.67
Moved to (1199, 337) at 1752601155.67
Moved to (1193, 338) at 1752601155.68
Moved to (1188, 339) at 1752601155.68
Moved to (1184, 341) at 1752601155.69
Moved to (1179, 342) at 1752601155.69
Moved to (1173, 343) at 1752601155.69
Moved to (1169, 345) at 1752601155.70
Moved to (1164, 346) at 1752601155.70
Moved to (1160, 347) at 1752601155.71
Moved to (1156, 349) at 1752601155.71
Moved to (1151, 350) at 1752601155.71
Moved to (1147, 351) at 1752601155.72
Moved to (1142, 352) at 1752601155.72
Moved to (1136, 354) at 1752601155.73
Moved to (1131, 355) at 1752601155.73
Moved to (1126, 357) at 1752601155.73
Moved to (1122, 358) at 1752601155.74
Moved to (1118, 359) at 1752601155.74
Moved to (1114, 360) at 1752601155.74
Moved to (1109, 362) at 1752601155.75
Moved to (1105, 363) at 1752601155.75
Moved to (1101, 364) at 1752601155.76
Moved to (1096, 366) at 1752601155.76
Moved to (1092, 368) at 1752601155.76
Moved to (1086, 371) at 1752601155.77
Moved to (1080, 374) at 1752601155.77
Moved to (1077, 375) at 1752601155.78
Moved to (1069, 380) at 1752601155.78
Moved to (1065, 382) at 1752601155.79
Moved to (1061, 385) at 1752601155.79
Moved to (1057, 389) at 1752601155.80
Moved to (1053, 393) at 1752601155.80
Moved to (1049, 397) at 1752601155.80
Moved to (1045, 401) at 1752601155.81
Moved to (1041, 405) at 1752601155.81
Moved to (1035, 412) at 1752601155.82
Moved to (1028, 418) at 1752601155.82
Moved to (1022, 424) at 1752601155.82
Moved to (1016, 431) at 1752601155.83
Moved to (1009, 437) at 1752601155.83
Moved to (1005, 441) at 1752601155.84
Moved to (999, 447) at 1752601155.84
