,Emotion Detection,Time
576,fear,2025-06-30 12:48:11.110350
577,sad,2025-06-30 12:48:11.522856
578,sad,2025-06-30 12:48:11.683565
579,neutral,2025-06-30 12:48:12.300731
580,neutral,2025-06-30 12:48:13.788637
581,neutral,2025-06-30 12:48:13.897359
582,neutral,2025-06-30 12:48:14.044004
583,neutral,2025-06-30 12:48:14.160992
584,neutral,2025-06-30 12:48:14.260733
585,neutral,2025-06-30 12:48:14.366460
586,neutral,2025-06-30 12:48:14.478179
587,neutral,2025-06-30 12:48:14.574727
588,neutral,2025-06-30 12:48:14.697172
589,neutral,2025-06-30 12:48:14.805659
590,neutral,2025-06-30 12:48:14.926815
591,neutral,2025-06-30 12:48:15.032026
592,neutral,2025-06-30 12:48:15.127271
593,neutral,2025-06-30 12:48:15.226953
594,neutral,2025-06-30 12:48:15.345001
595,neutral,2025-06-30 12:48:15.467002
596,neutral,2025-06-30 12:48:15.589878
597,neutral,2025-06-30 12:48:15.699280
598,neutral,2025-06-30 12:48:15.843898
599,surprise,2025-06-30 12:48:15.949888
600,angry,2025-06-30 12:48:16.057290
601,surprise,2025-06-30 12:48:16.174062
602,angry,2025-06-30 12:48:16.297731
603,sad,2025-06-30 12:48:16.411698
604,fear,2025-06-30 12:48:16.528242
605,angry,2025-06-30 12:48:16.661541
606,sad,2025-06-30 12:48:16.804734
607,fear,2025-06-30 12:48:16.905626
608,sad,2025-06-30 12:48:16.905626
609,sad,2025-06-30 12:48:17.053332
610,sad,2025-06-30 12:48:17.188768
611,sad,2025-06-30 12:48:17.289049
612,sad,2025-06-30 12:48:17.410352
613,sad,2025-06-30 12:48:17.515269
614,sad,2025-06-30 12:48:17.629183
615,sad,2025-06-30 12:48:17.784632
616,sad,2025-06-30 12:48:18.032299
617,neutral,2025-06-30 12:48:18.155266
618,neutral,2025-06-30 12:48:18.295349
619,sad,2025-06-30 12:48:18.445727
620,neutral,2025-06-30 12:48:18.445727
621,neutral,2025-06-30 12:48:18.671225
622,neutral,2025-06-30 12:48:18.822723
623,sad,2025-06-30 12:48:18.968141
624,angry,2025-06-30 12:48:19.108985
625,sad,2025-06-30 12:48:19.243639
626,neutral,2025-06-30 12:48:19.373975
627,fear,2025-06-30 12:48:19.485996
628,neutral,2025-06-30 12:48:19.619631
629,neutral,2025-06-30 12:48:19.762075
630,neutral,2025-06-30 12:48:19.854996
631,neutral,2025-06-30 12:48:19.997942
632,neutral,2025-06-30 12:48:20.118100
633,neutral,2025-06-30 12:48:20.227607
634,neutral,2025-06-30 12:48:20.329592
635,neutral,2025-06-30 12:48:20.460470
636,neutral,2025-06-30 12:48:20.561580
637,neutral,2025-06-30 12:48:20.674777
638,neutral,2025-06-30 12:48:20.787872
639,neutral,2025-06-30 12:48:20.912960
640,neutral,2025-06-30 12:48:21.039874
641,neutral,2025-06-30 12:48:21.171640
642,neutral,2025-06-30 12:48:21.285176
643,angry,2025-06-30 12:48:21.395214
644,neutral,2025-06-30 12:48:21.527221
645,neutral,2025-06-30 12:48:21.663868
646,angry,2025-06-30 12:48:21.777580
647,neutral,2025-06-30 12:48:22.850440
648,happy,2025-06-30 12:48:25.431174
